"id","question","username","userimage","content","favour","ctime"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","当我觉得我自己走了99步，而她却一步也未曾向我靠近的时候。","2611","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","知乎用户","https://pic4.zhimg.com/da8e974dc_is.jpg","发现自己没有他，反而过的更好的那一刻，真的泪流满面","1132","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","我不找他，他就不会找我。我不送他礼物，他就不会送我礼物，我不推进两个人的关系，这段关系就没了。到最后想结束时，我都不敢跟他说，因为说了就肯定结束了。","1244","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","失望次数太多终于绝望","622","16/2/2014"
"22748892","你是在什么时刻决定放弃一个人的？","孙艳","https://pic1.zhimg.com/d003573b9552d6ae4a882ec6ada884a8_is.jpg","无论我再怎么努力，他对我来说，就像一块冰的时候。分享一段我很喜欢的文字：你有没有过这样的感觉：原来一切都好，你们谈笑风生，然后他就多说了那么一句话，不经意的就流露了真实的心声，而你就那么敏感的感受到了，于是，有一盏灯在你心中灭了，有一扇门在你心底关闭了。你心痛地感觉到一切已经过去了，你们再也回不去了。而他却一无所知，而你还面带微笑。","446","5/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","虽是异地，恋爱近两年，但是最后的一两个月的时候：<br/>打开短信，一直向上滚动，满屏的绿色。。。<br/><figure><noscript><img src=""https://pic4.zhimg.com/50/73b6aa3963aa3bc722b1eaed5e993130_hd.jpg"" data-rawwidth=""177"" data-rawheight=""314"" class=""content_image"" width=""177""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;177&#39; height=&#39;314&#39;&gt;&lt;/svg&gt;"" data-rawwidth=""177"" data-rawheight=""314"" class=""content_image lazy"" width=""177"" data-actualsrc=""https://pic4.zhimg.com/50/73b6aa3963aa3bc722b1eaed5e993130_hd.jpg""/></figure><figure><noscript><img src=""https://pic3.zhimg.com/50/ce696c751749208bb104e8f1326b5aa5_hd.jpg"" data-rawwidth=""177"" data-rawheight=""314"" class=""content_image"" width=""177""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;177&#39; height=&#39;314&#39;&gt;&lt;/svg&gt;"" data-rawwidth=""177"" data-rawheight=""314"" class=""content_image lazy"" width=""177"" data-actualsrc=""https://pic3.zhimg.com/50/ce696c751749208bb104e8f1326b5aa5_hd.jpg""/></figure>","706","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","分别两年后又能坐在彼此身边，你看了他一下午，他看了手机一下午。<br/>他手机里的人和游戏都比你有意思，你坐在一旁，尴尬的像个错误。<br/>------------------<br/>奥，这是个长情的问题，答完好几个月，居然细水长流的收到赞同和感谢…<br/>收到感谢刚开始很疑惑后来心里会咯噔，会不会给一些小伙伴在消极时候作的决定拾柴火了…<br/>其实所答不算合题，因为我们计划做的已经做的决定太多了，心里象装了个沙漏，放弃也是绵绵的，绝望也是绵绵的，只不过有些时刻漏的少，有些时刻漏的多，多到像大浪扑面，哇喔，目瞪口呆，进退不得。<br/>这种时刻…一点都不酷…<br/>因为感觉又一次大浪穿身，秋天来了，来补充几句。<br/>嗯，给所有感同身受的小伙伴摸摸头。<br/><br/>---------------------<br/>10.22 maybe负能量的一更<br/><br/>打开知乎又收到这个问题的感谢，那么问题来了，福尔摩斯哪家强？我们这群圈在这儿咬着小手绢红着眼眶眶给忘不记找线索找理由的虐癌患者们…<br/>你是在什么时候决定放弃一个人的…说的就好像是你在什么时候决定给丫差评负分滚粗…呵呵，为毛感觉自己才是负分滚粗的那个呢…<br/>负能量发射完毕，依旧给小伙伴们摸摸头，给我自己也摸摸头。<br/><br/>——————<br/>10.23<br/>我挺难过的。<br/>恩，给我自己摸摸头。<br/><br/>——————<br/>10.24<br/>你们好吗？我有点不太好，没有哭，呆呆的。<br/><br/>————<br/>10.25<br/>哭过了，哭到吐实在太难受。<br/>噩梦还是会有的，因为难过而呕吐也还会有的，但是最我的我，不会恨，再问初心，love and peace。质问和崩溃都违了初心，清醒自己，还是初心，love and peace。<br/><br/>2015.1.20<br/>恩，就是这样的四句。<br/><figure><noscript><img src=""https://pic4.zhimg.com/50/2572b197d10354e281132f5a0a091f70_hd.jpg"" data-rawheight=""720"" data-rawwidth=""720"" class=""origin_image zh-lightbox-thumb"" width=""720"" data-original=""https://pic4.zhimg.com/2572b197d10354e281132f5a0a091f70_r.jpg""/></noscript><img src=""data:image/svg+xml;utf8,&lt;svg xmlns=&#39;http://www.w3.org/2000/svg&#39; width=&#39;720&#39; height=&#39;720&#39;&gt;&lt;/svg&gt;"" data-rawheight=""720"" data-rawwidth=""720"" class=""origin_image zh-lightbox-thumb lazy"" width=""720"" data-original=""https://pic4.zhimg.com/2572b197d10354e281132f5a0a091f70_r.jpg"" data-actualsrc=""https://pic4.zhimg.com/50/2572b197d10354e281132f5a0a091f70_hd.jpg""/></figure><br/><br/>2015.3.16<br/>好几个月没手贱过了，今天破了戒，心理强过生理，心里挺平静的，是个懂事姑娘，生理是长了根新的反射神经么，心脏慢速duang了一阵儿，塞塞的，是个软肋姑娘。<br/>断断续续有赞同，点赞同的也都是拧巴孩子吧，给你们摸摸头，给我自己摸摸头，希望有一天，咱们都不再来看这个问题，晚安。<br/><br/>4.6<br/>我又来更新了，看来希望的那天还没来。一整晚的梦，头重身子重，看看日期，一年了，所以潜意识在骚动不安吧。梦里一整晚背着紧搂脖子的小朋友，很累。。也会有一点委屈，想问为什么，想希望说忘不记就忘不记，不想起也好啊。。淋湿了衣服，换掉就好，用体温暖衣服真是有一点点心酸。<br/>给我自己摸摸头，给你们摸摸头。<br/><br/>---------<br/>2015.4.18<br/>我真的觉得也淡了也忘了，刚刚翻电脑找东西，翻出了以前的照片等等，反射弧比我动作快，秒关。嗯，sorry。说过很多次对不起，其实说的时候总不知道在道什么歉。嗯，对不起，没有好好珍惜你。给我也曾辜负过的你摸摸头，给我自己摸摸头。<br/><br/>----------<br/>2015.6.13<br/>不知道是不是睡前看了小说花千骨的原因，做了一个久违的梦，睡眠记录仪也显示睡的格外平稳，内容就此忘了是最好，只记着做过一场好梦，摸摸头。<br/><br/>2016年6月11日<br/>睡个午觉，连续三个梦，一层一层掉进梦魇中。莫不是因为白天看到过类似的字眼，每个梦都有他。已接受平凡的自己平庸的生活，又为何这般的情根深种？写出这个词觉得别扭，又想不出更贴切的表达。哎，你们呢？你呢？","354","8/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","白橡","https://pic3.zhimg.com/a6b48b1e360783061678af8e0bf7f214_is.jpg","及时认错，坚决不改。","283","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","匿名用户","https://pic1.zhimg.com/aadd7b895_is.jpg","对话只剩下：<br/>“哦”<br/>“嗯”<br/>“好”<br/>“早安”<br/>“午安”<br/>“睡吧”<br/>“以后再说吧”","889","10/3/2014"
"22748892","你是在什么时刻决定放弃一个人的？","领带先生","https://pic4.zhimg.com/v2-220abdcc9a310b706fc838115562e7dc_is.jpg","看《进击的巨人》时，有一句台词，“无所放弃的人，是不会有所改变的”。<br/>然后突然醒悟，没有她，我可以变得更好。","282","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","齐鲁","https://pic4.zhimg.com/fd4ca0189_is.jpg","好像从来没有放弃过，但就是再也提不起那股劲了—累","230","4/4/2014"
"22748892","你是在什么时刻决定放弃一个人的？","dan amanda","https://pic3.zhimg.com/14c81008d_is.jpg","心疼自己了。","176","4/4/2014"
